title,year
"YELLEN, JANET",2023
"YEE, HERBERT K.",2023
YEAR OF DEMOCRACY,2023
"YAZOO CITY, MS",2023
"YAZBEK, HIBA",2023
"YATES, MATTHEW E.",2023
"YATES, LYNN",2023
"YATES, FRED",2023
"YATES COUNTY, NY",2023
"YASTISHOCK, ANN M.",2023
"YAROS, BERNARD",2023
"YARL, RALPH",2023
"YARBROUGH, RUTH",2023
"YANG, LILLIAN",2023
"YAKYM, RUDY, III (a Representative from Indiana)",2023
YAHOO FINANCE (Internet site),2023
"XU, RICHARD",2023
"XI JINPING (China, President)",2023
WYOMING WOMEN IN AGRICULTURE (organization),2023
"WYOMING COUNTY, NY",2023
WYOMING AGRICULTURE HALL OF FAME,2023
WYOMING,2023
"WYNN, FRED",2023
"WYMAN, JESSICA",2023
"WYFF-TV (Greensville, SC)",2023
"WYDEN, RON (a Senator from Oregon)",2023
"WYCHE, VANESSA",2023
"WYANT, BILL AND RONA",2023
"WYANDOTTE, MI",2023
"WYANDOTTE COUNTY, KS",2023
WY’EAST TRIBAL RESOURCES RESTORATION ACT,2023
WWII NURSES CONGRESSIONAL GOLD MEDAL ACT,2023
"WVIA-RADIO (Scranton, PA)",2023
"WUSTENBERG, BILL AND WENDY",2023
"WU, NATHALIE",2023
"WRZESINSKI, EDWARD M.",2023
"WROBEL, BETH",2023
"WRIGHTSTOWN, WI",2023
"WRIGHT, WILBUR",2023
"WRIGHT, TELENA",2023
"WRIGHT, RICHARD",2023
"WRIGHT-PRUSKI, DOROTA",2023
"WRIGHT, ORVILLE",2023
"WRIGHT-GALLO, GLENNA L.",2023
"WRIGHT, DONALD AND GAYLE",2023
"WRIGHT, DAUNTE",2023
"WRIGHT, DANA",2023
"WRIGHT, CHRISTOPHER D.",2023
WRIGHT BROTHERS DAY,2023
"WRAY, CHRISTOPHER A.",2023
"WRATNEY, GEORGE",2023
"WRASE, JEFF",2023
"WRANGELL, AK",2023
"WOZNIAK, NINALEIGH STRATTON",2023
WOUNDED WARRIOR ACCESS ACT,2023
WOUNDED KNEE MASSACRE MEMORIAL AND SACRED SITE ACT,2023
"WORTHINGTON, JIM",2023
"WORTHAM, JOSEPH W., II",2023
WORTH BREWING CO.,2023
"WORLINE, CLARK E.",2023
"WORLEY, DARRYL",2023
"WORLEY, BRIAN C.",2023
WORLD WATER DAY,2023
WORLD WAR II  related term(s)  War,2023
WORLD WAR I  related term(s)  War,2023
WORLD WAR I CENTENNIAL COMMISSION,2023
WORLD TRADE ORGANIZATION,2023
WORLD SOCIAL WORK DAY,2023
WORLD SIGHT DAY,2023
WORLD SICKLE CELL AWARENESS DAY,2023
WORLD REFUGEE DAY,2023
WORLD QUANTUM DAY,2023
WORLD PRESS FREEDOM DAY,2023
WORLD OCEANS DAY,2023
WORLD METEOROLOGICAL ORGANIZATION,2023
WORLD MENOPAUSE AWARENESS MONTH,2023
WORLD MALARIA DAY,2023
WORLD HEPATITIS DAY,2023
WORLD HEARING DAY,2023
WORLD HEALTH ORGANIZATION,2023
WORLD HARVEST UNITED CHURCHES,2023
WORLD FOOD PRIZE FOUNDATION,2023
WORLD FOOD DAY,2023
WORLD ELDER ABUSE AWARENESS DAY,2023
WORLD CONTRACEPTION DAY,2023
WORLD CENTRAL KITCHEN (organization),2023
WORLD BANK GROUP  related term(s)  International Monetary Fund,2023
WORLD AIDS DAY,2023
WORKPLACE VIOLENCE PREVENTION FOR HEALTH CARE AND SOCIAL SERVICE WORKERS ACT,2023
WORKPLACE OVERDOSE REVERSAL KITS (WORK) TO SAVE LIVES ACT,2023
WORKPLACE EYE WELLNESS MONTH,2023
WORKPLACE CHOICE AND FLEXIBILITY FOR INDIVIDUALS WITH DISABILITIES ACT,2023
WORKING TO ADVANCE TANGIBLE AND EFFECTIVE REFORMS (WATER) FOR CALIFORNIA ACT,2023
WORKING FAMILIES TAX CUT ACT,2023
WORKING FAMILIES CHILDCARE ACCESS (WFCA) ACT,2023
WORKING DOG HEALTH AND WELFARE ACT,2023
WORKING DOG COMMEMORATIVE COIN ACT,2023
WORKFORCE MOBILITY ACT,2023
WORKFORCE JUSTICE ACT,2023
WORKFORCE INVESTMENT DISCLOSURE ACT,2023
WORKFORCE INVESTMENT ACT,2023
WORKFORCE INNOVATION AND OPPORTUNITY ACT,2023
WORKFORCE HOUSING TAX CREDIT ACT,2023
WORKERS’ MEMORIAL DAY ACT,2023
WORKERS’ MEMORIAL DAY,2023
WORKER’S CHOICE ACT,2023
WORKER ADJUSTMENT AND RETRAINING NOTIFICATION ACT,2023
WORK WITHOUT WORRY ACT,2023
WORK SKILLS CORP.,2023
WORK NOT WOKE ACT,2023
"WORK, JAMES P.",2023
"WORDEN, EMMA",2023
"WORCESTER, MA",2023
"WORCESTER COUNTY, MA",2023
"WOOTEN, TRIPP",2023
"WOOTEN, CHARLES R.",2023
"WOOLSTON, CODY",2023
"WOOLEY, TAYLORANN",2023
"WOODWAY, TX",2023
"WOODWARD, NADINE",2023
"WOODWARD, MIKE",2023
"WOODSTOCK, VA",2023
WOODSTOCK INSTITUTE,2023
"WOODSTOCK, IL",2023
"WOODSTOCK FIRE DEPT., INC.",2023
"WOODSON, EVELYN (MIMI)",2023
"WOODSIDE, CHRISTIAN",2023
"WOODS, PAUL",2023
"WOODS, EMILY",2023
"WOODS, DENNIS C.",2023
WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS,2023
"WOODLAND PARK, CO",2023
"WOODLAND, MALCOLM",2023
WOODLAND COMMUNITY COLLEGE,2023
"WOODFIELD, DONALD",2023
WOODEN FLOOR (organization),2023
"WOODBRIDGE, VA",2023
"WOODBERRY FOREST, VA",2023
"WOODARD, JAKE",2023
"WOODALL, SPENCER",2023
"WOODALL, HUNTER",2023
"WOODALL, GRACIE",2023
"WOOD, ROCKY",2023
"WOOD, PHOEBE",2023
"WOOD, MICHAEL",2023
"WOOD, MAINI",2023
"WOOD, KEVIN",2023
"WOOD, IRA D., III",2023
"WOOD, GEORGE",2023
"WOOD COUNTY, OH",2023
WOOD COUNTY AGRICULTURAL SOCIETY,2023
"WOOD, CAROL",2023
"WOOD, ANGIE",2023
WOOD,2023
"WONG, TIEN",2023
"WONG, MICHAEL",2023
WOMEN VETERANS APPRECIATION DAY,2023
WOMEN’S SUFFRAGE NATIONAL MONUMENT LOCATION ACT,2023
WOMEN’S RIGHTS AND PROTECTION ACT,2023
WOMEN’S NATIONAL BASKETBALL ASSOCIATION,2023
WOMEN’S HEALTH PROTECTION ACT,2023
WOMEN’S ENTREPRENEURSHIP DAY ORGANIZATION,2023
WOMEN’S BUSINESS CENTERS IMPROVEMENT ACT,2023
WOMEN’S ARMED SERVICES INTEGRATION ACT,2023
WOMEN IN CRIMINAL JUSTICE REFORM ACT,2023
WOMEN AND LUNG CANCER RESEARCH AND PREVENTIVE SERVICES ACT,2023
WOMEN,2023
"WOMBLE, ROBERT",2023
"WOMACK, STEVE (a Representative from Arkansas)",2023
"WOMACK, CHRIS",2023
"WOLTERS, KATE KNUDSON",2023
"WOLL, SAMANTHA",2023
"WOLFSON, DIANNA",2023
"WOLFEBORO, NH",2023
"WOLFE, FRED H.",2023
"WOLFE, DENNIS, SR.",2023
"WOLFE, CADE M.",2023
"WOLF, MICHAEL",2023
"WOLF, MARTIN",2023
"WOLF, DONALD",2023
"WOLCOTT, MALCOLM E.",2023
"WOLAK, JACOB",2023
WOKE ENDOWMENT SECURITY TAX (WEST) ACT,2023
"WLKQ-RADIO LA RAZA (Suwanee, GA)",2023
"WJHL-TV (Johnson City, TN)",2023
"WITTMAN, ROBERT J. (a Representative from Virginia)",2023
"WITTENBERG, JAMIE",2023
"WITT, BURKETT",2023
WITHSTANDING EXTREME AGRICULTURAL THREATS BY HARVESTING ECONOMIC RESILIENCE (WEATHER) ACT,2023
"WISNEWSKI, KATHLEEN AND WILLIAM",2023
"WISE, THOMAS D.",2023
"WISE, JOE C., JR.",2023
WISE INVESTMENT IN CHILDREN (WIC) ACT,2023
"WISE COUNTY, TX",2023
"WISCONSIN HISPANIC SCHOLARSHIP FOUNDATION, INC.",2023
WISCONSIN BASKETBALL COACHES ASSOCIATION,2023
WISCONSIN,2023
WIRELESS BROADBAND COMPETITION AND EFFICIENT DEPLOYMENT ACT,2023
"WINZER, BERT",2023
"WINTERVILLE, NC",2023
"WINSTON-SALEM, NC",2023
"WINSLOW, JOB",2023
"WINONA, MS",2023
"WINN, KEATON",2023
"WINKLER, DONNIE",2023
"WING, KELISA",2023
"WINFREE, BRICE L., JR.",2023
"WINDSWEPT HILL FARM & STUDIO, LLC",2023
"WINDLEY, ANN",2023
"WINDHORST, SYDNEY",2023
"WINDHAM, LORI",2023
"WINCHESTER, VA",2023
WINCHESTER RESCUE MISSION (organization),2023
"WINAMAC COIL SPRING, INC.",2023
"WIMMER, MICAH",2023
"WIMMER, HAROLD P.",2023
"WIMBERLY, TOMMY C.",2023
"WILT, NICKOLAS",2023
"WILSON, VELMA",2023
"WILSON, VANESSA",2023
"WILSON, TRAREZE",2023
"WILSON, R. SCOTT",2023
"WILSON, NC",2023
"WILSON, MICKEY",2023
"WILSON, MAX",2023
"WILSON, MARIA",2023
"WILSON, M. ROY",2023
"WILSON, KRISTIN",2023
"WILSON, JOE (a Representative from South Carolina)",2023
"WILSON, JIMMY, JR.",2023
"WILSON, HOUSTON Z.",2023
"WILSON-FRIED, ALICE",2023
"WILSON, FREDERICA S. (a Representative from Florida)",2023
WILSON FAMILY,2023
"WILSON, ERNEST E.",2023
"WILSON, BOBBI",2023
"WILSBACH, KENNETH S.",2023
"WILMOT, STEVE",2023
"WILMINGTON, NC",2023
"WILLS TOWNSHIP, IN",2023
"WILLS, ERIC",2023
"WILLOUGHBY, WILLIAM, III",2023
"WILLOUGHBY, CHARLES J., JR.",2023
"WILLOCK, DEVIN",2023
"WILLIS, RICHARD S.",2023
"WILLIAMSON, MAXIMUS",2023
"WILLIAMSON, HENRY",2023
"WILLIAMSON COUNTY, TN",2023
"WILLIAMSON, CHRISTOPHER J.",2023
"WILLIAMSBURG, KY",2023
"WILLIAMS, WITT",2023
"WILLIAMS, TIMOTHY P.",2023
"WILLIAMS, THELDA",2023
"WILLIAMS, ROGER (a Representative from Texas)",2023
"WILLIAMS, ROCHELLE",2023
"WILLIAMS, ROBERT M. (MIKE)",2023
"WILLIAMS, QUENTIN S. (Q)",2023
"WILLIAMS, PATRICIA",2023
"WILLIAMS, NIKEMA (a Representative from Georgia)",2023
"WILLIAMS, MIKE",2023
"WILLIAMS, MATTHEW",2023
"WILLIAMS, MARC F.",2023
"WILLIAMS, LOUIS F.",2023
"WILLIAMS, LONNIE",2023
"WILLIAMS, LEE",2023
"WILLIAMS, KEVIN",2023
"WILLIAMS, KENNETH",2023
"WILLIAMS, JUDITH K. ALGUIRE",2023
"WILLIAMS, JEROMY B.",2023
"WILLIAMS, JEFF",2023
"WILLIAMS, JAMES (TRE)",2023
"WILLIAMS, HIRAM (HANK)",2023
"WILLIAMS, HAROLD",2023
"WILLIAMS, FRANQUIANA",2023
"WILLIAMS, EVELYN DIXON",2023
"WILLIAMS, ELLSWORTH (TONY)",2023
"WILLIAMS, EDDIE",2023
"WILLIAMS, E. ROYCE",2023
"WILLIAMS, DAVE",2023
"WILLIAMS, CLARENCE",2023
"WILLIAMS, CHARLES T.",2023
"WILLIAMS, BRIDGET",2023
"WILLIAMS, BRANDON (a Representative from New York)",2023
"WILLIAMS, BRADLEY",2023
"WILLIAMS, ANTHONY",2023
"WILLIAMS, ANITA",2023
WILLIAM JESSUP UNIVERSITY,2023
WILLIAM AND JAMES WONACOTT ACT see Drugs,2023
"WILLESS, JAMES",2023
"WILL, WILLIAM",2023
"WILKINSON, SCOTT D.",2023
"WILKINS, JAUQUA",2023
"WILKES-BARRE, PA",2023
WILKES-BARRE (PA) TIMES LEADER,2023
"WILKERSON, WILLIAM F.",2023
"WILKERSON, MARTHA",2023
"WILKERSON, AMANDA",2023
"WILHELMS, EDGAR E., JR. (BEE)",2023
"WILHELM, ALEXANDRA",2023
"WILES, RICHARD D.",2023
"WILEN, DIANE",2023
WILDLIFE REFUGES,2023
WILDLIFE,2023
WILDLAND FIREFIGHTER PAYCHECK PROTECTION ACT,2023
WILDLAND FIREFIGHTER FAIR PAY ACT,2023
WILDLAND FIREFIGHTER CLASSIFICATION AND PAY PARITY ACT,2023
WILDFIRES,2023
WILDFIRE SMOKE EMERGENCY DECLARATION ACT,2023
WILDFIRE RESPONSE AVIATION MODERNIZATION AND SAFETY ACT,2023
WILDFIRE RESILIENT COMMUNITIES ACT,2023
WILDFIRE PREPAREDNESS WEEK,2023
WILDFIRE GRID RESILIENCY ACT,2023
WILDFIRE EMERGENCY ACT,2023
WILDERNESS AREAS,2023
WILDERNESS ACT,2023
"WILDER, JOHN T.",2023
"WILDER, JESS",2023
"WILD, SUSAN (a Representative from Pennsylvania)",2023
WILD FREE-ROAMING HORSES AND BURROS ACT,2023
WILD AND SCENIC RIVERS SYSTEM,2023
WILD AND SCENIC RIVERS ACT,2023
"WILCOX, STEVIE",2023
"WILCOX, GWYNNE A.",2023
"WILCOX, AZ",2023
"WILBUR, KATHLEEN M.",2023
"WILBUN, JAMES T.",2023
"WILBOURN, McKINLEY (MACK)",2023
"WILBERDING, MERLE",2023
"WILBER, BRUCE A.",2023
"WIKOFF, GEORGE M.",2023
"WIGGANS, TANYA S.",2023
"WIEGERT, MARK",2023
"WIECKOWSKI, ROBERT",2023
"WIDMER, BOB AND TERRY",2023
WIDENING OPPORTUNITIES TO RECAPTURE KEY ENERGY ROLES (WORKER) ACT,2023
"WICKS, JEWEL",2023
"WICKS, BUFFY",2023
"WICKRE, JENNIFER",2023
"WICKER, ROGER F. (a Senator from Mississippi)",2023
"WICHITA, KS",2023
WIC FOR KIDS ACT,2023
WHOLE MILK FOR HEALTHY KIDS ACT,2023
WHOLE FARM REVENUE PROTECTION PROGRAM IMPROVEMENT ACT,2023
"WHITTERS, HAILEY",2023
"WHITT, MARCUS B., II",2023
"WHITSON, PEGGY",2023
"WHITSON, MICHAEL T.",2023
"WHITMORE, ROBERT",2023
"WHITLEY, JOHN E.",2023
"WHITLEY COUNTY, KY",2023
"WHITING, STEPHEN N.",2023
"WHITESIDE, LEO AND JUDY",2023
"WHITESIDE, CLEOVIS AND ARWILDA",2023
"WHITESBORO, TX",2023
"WHITEMAN AFB, MO",2023
"WHITEHOUSE, SHELDON (a Senator from Rhode Island)",2023
"WHITEHEAD, JAMAL N.",2023
"WHITEHALL, NICHOLAS",2023
"WHITE, TY",2023
"WHITE, SAISHA",2023
"WHITE, RICHARD D.",2023
"WHITE, RICHARD",2023
"WHITE, PENNY HARTSFIELD",2023
"WHITE, OLAJUWON",2023
"WHITE, LANGSTON",2023
"WHITE, KELSEY",2023
"WHITE, KATHERINE E.",2023
"WHITE, JOHN H.",2023
"WHITE, JACK",2023
WHITE HOUSE RURAL COUNCIL,2023
WHITE HOUSE  related term(s)  Executive Office of the President,2023
"WHITE, HOLLAND B.",2023
"WHITE, FRANK M.",2023
"WHITE, FRANK, III",2023
"WHITE, ERIK C.",2023
"WHITE, DELBERT L.",2023
"WHITE, DAVID E., JR.",2023
"WHITE, DALE R.",2023
"WHITE, CHARLES",2023
"WHITE, BRADY G.",2023
"WHITE, BO",2023
"WHITE, ANTHONY",2023
"WHITAKER, MICHAEL G.",2023
"WHITAKER, EVANS P. AND DIANE",2023
"WHITAKER, EVANS P.",2023
WHISTLEBLOWING  related term(s)  Federal Employees,2023
"WHISENANT, DAVID",2023
"WHIPPER, LUCILLE SIMMONS",2023
"WHICHARD-BROWN, JOYCE",2023
WHERE ARE THE TERRORISTS NOW ACT,2023
"WHELAN, PAUL",2023
"WHELAN, ELIZABETH",2023
"WHEELERSBURG, OH",2023
"WHEELER, BILL",2023
"WHEATLY, CLAUD, III (ROB)",2023
"WHEATLAND, WY",2023
"WHEAT RIDGE, CO",2023
"WHARTON, CLIFTON, JR.",2023
"WHALEY, ROBERT",2023
"WGL HOLDINGS, INC.",2023
"WEYANT, EMMA",2023
"WEXTON, JENNIFER (a Representative from Virginia)",2023
"WEXFORD, PA",2023
"WEWAHITCHKA, FL",2023
"WETTER, LEANDER",2023
WETLANDS,2023
"WESTPORT, CT",2023
"WESTPHALIA, MO",2023
"WESTMORELAND, LEON A. (a former Representative from Georgia)",2023
"WESTMORELAND COUNTY, VA",2023
"WESTMORELAND COUNTY, PA",2023
"WESTMINSTER, CO",2023
"WESTMINSTER, CA",2023
WESTJAX OUTREACH INC.,2023
"WESTINGHOUSE ELECTRIC CO., LLC",2023
WESTERN WILDFIRE SUPPORT ACT,2023
WESTERN WATER ACCELERATED REVENUE REPAYMENT ACT,2023
WESTERN NEW YORK AREA LABOR FEDERATION,2023
WESTERN HEMISPHERE SECURITY STRATEGY ACT,2023
WESTERN HEMISPHERE PARTNERSHIP ACT,2023
WESTERN HEMISPHERE NEARSHORING ACT,2023
WESTERN HEMISPHERE DRUG POLICY COMMISSION,2023
"WESTERMAN, BRUCE (a Representative from Arkansas)",2023
"WESTCHESTER COUNTY, NY",2023
"WESTBROOKS, LATRICE A.",2023
"WEST WARWICK, RI",2023
WEST VIRGINIA,2023
"WEST, SAM",2023
"WEST READING, PA",2023
"WEST POINT, NY",2023
"WEST POINT, NE",2023
"WEST POINT IMPLEMENT, INC.",2023
"WEST PLAINS, MO",2023
"WEST ORANGE, NJ",2023
"WEST MINERAL, KS",2023
"WEST, JAMES",2023
"WEST ISLIP, NY",2023
"WEST HOLLYWOOD, CA",2023
WEST HILL BREWING CO.,2023
"WEST, HERSHELL",2023
"WEST HENDERSON, NC",2023
"WEST DES MOINES, IA",2023
"WEST COVINA, CA",2023
"WEST COLUMBIA, SC",2023
WEST COAST UNIVERSITY,2023
WEST COAST OCEAN PROTECTION ACT,2023
"WEST CITY, IL",2023
"WEST BURLINGTON, IA",2023
"WEST BRANCH, MI",2023
"WESSELS-MARTIN, ELIZABETH",2023
WESLEY HOUSE ASSOCIATION,2023
"WESLEY, CYNTHIA M.",2023
"WERTZBERGER, NOAH",2023
"WERTLIEB, GRETCHEN",2023
"WERNERT, LINZIE",2023
"WERNER, JORDAN M.",2023
"WERFEL, DANIEL I.",2023
"WENSTRUP, BRAD R. (a Representative from Ohio)",2023
"WENINGER, WOLFGANG K.",2023
"WENGER, WILLIAM V.",2023
"WENGER, RONALD",2023
"WENATCHEE, WA",2023
"WELLSTON, OH",2023
"WELLS, JOHN T.",2023
"WELLER, JAMES J.",2023
WELFARE see Public Welfare Programs; Social Security,2023
"WELDON, NC",2023
"WELD COUNTY, CO",2023
WELCOME HOME VIETNAM VETERANS DAY,2023
"WELCH, PETER (a Senator from Vermont)",2023
"WELCH, KAMI",2023
"WEIZMANN, CHAIM",2023
"WEISS, ADAM",2023
"WEINTRAUB, RACHEL",2023
"WEINSTOCK, MICHAEL",2023
"WEINSTEIN, BARBARA",2023
"WEINGARTEN, RANDI",2023
"WEINER, RICHARD L.A.",2023
"WEINER, RACHEL",2023
"WEIN, EDEN",2023
"WEILER, ROBERT S.",2023
"WEIL, GERTRUDE",2023
"WEIGAND, NESTOR R., JR.",2023
"WEIDNER, JOHN W.",2023
"WEICKER, LOWELL P., JR. (a former Senator from Connecticut)",2023
"WEICHT, ELLIS",2023
"WEHNER, TREVOR",2023
"WEEZORAK, DENNIS R.",2023
"WEEKS, TODD S.",2023
WEEK OF THE FIGHT AGAINST BLACK SLAVERY IN THE AMERICAS,2023
WEE 1 TACTICAL LLC,2023
"WEBSTER, TINA SCARPELLO",2023
"WEBSTER, DONALD H., JR.",2023
"WEBSTER, DANIEL (a Representative from Florida)",2023
"WEBSTER, DANIEL (a former Senator from Massachusetts)",2023
"WEBSTER, CRYSTAL",2023
WEBSITES AND SOFTWARE APPLICATIONS ACCESSIBILITY ACT,2023
"WEBER, RANDY K., SR. (a Representative from Texas)",2023
"WEBER, JIM",2023
"WEBER, EDWARD F. (a former Representative from Ohio)",2023
"WEBBER, WAYNE",2023
"WEBBER, ANDREW LLOYD",2023
"WEBB, W.K.",2023
"WEBB, KENNETH",2023
"WEAVER, SARAH",2023
"WEAVER, JOAN GRIER",2023
"WEAVER, AL",2023
"WEATHERSPOON, BRANDON",2023
WEATHERIZATION RESILIENCE AND ADAPTATION PROGRAM ACT,2023
WEATHERIZATION ASSISTANCE PROGRAM IMPROVEMENTS ACT,2023
WEATHER RESEARCH AND FORECASTING INNOVATION ACT,2023
WEATHER,2023
"WEASEL, JACOB",2023
WEAPONS  related term(s)  Biological Weapons; Chemical Weapons; Nuclear Weapons,2023
"WEAMER, SHERRY",2023
WE HONOR VETERANS (organization),2023
WE ARE THE 22 (organization),2023
"WDSU-TV (New Orleans, LA)",2023
"WCRE-RADIO (Cheraw, SC)",2023
"WAYNE TOWNSHIP, PA",2023
"WAYNE COUNTY, NY",2023
"WAYNE COUNTY, MI",2023
"WAYNE COUNTY, GA",2023
"WAYMENT, STEWART D.",2023
"WAX, MELVIN",2023
"WAWONA FROZEN FOODS, INC.",2023
WAVES INC.,2023
"WAVERLY, NY",2023
"WAUPACA, WI",2023
"WAUKON, IA",2023
"WAUKESHA, WI",2023
"WAUGH, BILLY D.",2023
"WAUCHULA, FL",2023
"WATTS, NAKISHA McCRAY",2023
"WATTS, ISAAC",2023
"WATTS, DONNA",2023
"WATTS, BRAD",2023
"WATSON, ROXANNE",2023
"WATSON, ROBERT",2023
"WATSON, MARK S.",2023
"WATSON, LIZ",2023
"WATSON, JOSHUA K.",2023
"WATSON, DIANE E. (a former Representative from California)",2023
"WATSON, DIANE (a former Representative from California)",2023
"WATSON COLEMAN, BONNIE (a Representative from New Jersey)",2023
"WATSON, ARTHUR",2023
"WATSON, AGNES",2023
WATERWAYS  related term(s)  Water,2023
"WATERTOWN, NY",2023
WATERSMART ACCESS FOR TRIBES ACT,2023
WATERSHED PROTECTION AND FLOOD PREVENTION ACT,2023
"WATERS, STEVE",2023
"WATERS, MAXINE (a Representative from California)",2023
"WATERLOO, IA",2023
WATER SYSTEM THREAT PREPAREDNESS AND RESILIENCE ACT,2023
WATER RESOURCES REFORM AND DEVELOPMENT ACT,2023
WATER RESOURCES DEVELOPMENT ACT,2023
WATER  related term(s)  Ecology and Environment,2023
WATER QUALITY CERTIFICATION AND ENERGY PROJECT IMPROVEMENT ACT,2023
WATER POLLUTION  related term(s)  Ecology and Environment; Pollution,2023
WATER INFRASTRUCTURE MODERNIZATION ACT,2023
WATER INFRASTRUCTURE IMPROVEMENTS FOR THE NATION ACT,2023
WATER INFRASTRUCTURE IMPROVEMENTS FOR THE NATION (WIIN) ACT,2023
WATER INFRASTRUCTURE FINANCE AND INNOVATION ACT,2023
WATER FOR CONSERVATION AND FARMING ACT,2023
WATER AND AGRICULTURE TAX REFORM ACT,2023
"WATCO COMPANIES, LLC",2023
"WATANABE, MIKE",2023
WASTEWATER INFRASTRUCTURE POLLUTION PREVENTION AND ENVIRONMENTAL SAFETY (WIPPES) ACT,2023
WASTE see Refuse Disposal; Sewage Disposal,2023
"WASSMER, CAROLINA",2023
"WASSERSON, GARY",2023
"WASSERMAN SCHULTZ, DEBBIE (a Representative from Florida)",2023
"WASSERMAN, REBECCA",2023
"WASSERMAN, LYNNE",2023
"WASRSHAWSKY, SHELLY",2023
"WASINGER, MADDALENA",2023
"WASHTENAW COUNTY, MI",2023
"WASHOUGAL, WA",2023
"WASHOE COUNTY, NV",2023
WASHINGTON STATE UNIVERSITY,2023
"WASHINGTON REGIONAL ALCOHOL PROGRAM, INC.",2023
"WASHINGTON, PRINCESS",2023
"WASHINGTON, PHILLIP A.",2023
"WASHINGTON, PA",2023
WASHINGTON METROPOLITAN AREA TRANSITY AUTHORITY,2023
WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,2023
"WASHINGTON, LAKISHA",2023
"WASHINGTON, KRISTEN",2023
"WASHINGTON, JOHNNY P.",2023
"WASHINGTON, GEORGE (1st President of the United States)",2023
WASHINGTON (State),2023
"WASHINGTON, DC see District of Columbia",2023
"WASHINGTON, D.C. ADMISSION ACT",2023
"WASHINGTON CROSSING, PA",2023
"WASHINGTON COUNTY, PA",2023
"WASHINGTON COUNTY, NY",2023
